id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv,income_category,income_scaled,claim_ratio,claim_percentage,policies_per_year,customer_value,high_value_flag,customer_segment
10601,Female,Urban,High School,3,1,5,3867,2,A,Platinum,106116,5L-10L,1500000,0.002577998,0.26,0.333333333,18000000,1,High
47570,Female,Urban,High School,3,0,2,5466,1,A,Platinum,30852,5L-10L,1500000,0.003643998,0.36,0.333333333,4500000,0,Low
17247,Male,Urban,Bachelor,4,1,5,2505,1,A,Silver,43152,10L+,2000000,0.001252499,0.13,0.166666667,12000000,0,Low
71238,Female,Rural,High School,3,1,8,0,2,A,Gold,71448,5L-10L,1500000,0.0,0.0,0.222222222,27000000,1,Medium
64438,Female,Urban,High School,3,0,1,6643,2,A,Silver,70008,5L-10L,1500000,0.004428664,0.44,1.0,6000000,1,Medium
1808,Male,Rural,High School,3,0,0,0,1,A,Gold,31740,5L-10L,1500000,0.0,0.0,1.0,1500000,0,Low
56514,Male,Rural,High School,3,1,6,0,1,A,Platinum,50232,5L-10L,1500000,0.0,0.0,0.142857143,10500000,0,Low
43234,Male,Rural,High School,3,0,6,2557,1,B,Platinum,177888,5L-10L,1500000,0.001704666,0.17,0.142857143,10500000,0,High
1319,Male,Urban,High School,4,0,8,6536,2,A,Platinum,67368,10L+,2000000,0.003267998,0.33,0.222222222,36000000,1,Medium
64672,Female,Urban,High School,2,0,0,6472,2,A,Silver,536064,2-5L,1000000,0.006471994,0.65,2.0,2000000,0,High
26706,Female,Urban,Bachelor,3,1,5,6149,2,A,Silver,88932,5L-10L,1500000,0.004099331,0.41,0.333333333,18000000,1,Medium
80825,Male,Rural,Bachelor,3,1,7,0,1,A,Silver,50820,5L-10L,1500000,0.0,0.0,0.125,12000000,0,Low
26212,Male,Urban,Bachelor,4,0,0,4063,1,A,Platinum,32856,10L+,2000000,0.002031499,0.2,1.0,2000000,0,Low
13442,Female,Urban,High School,3,1,5,5932,2,A,Platinum,51636,5L-10L,1500000,0.003954664,0.4,0.333333333,18000000,1,Low
68756,Male,Urban,Bachelor,3,0,7,12837,2,B,Silver,182724,5L-10L,1500000,0.008557994,0.86,0.25,24000000,1,High
50064,Male,Rural,Bachelor,2,0,2,6427,2,A,Platinum,58668,2-5L,1000000,0.006426994,0.64,0.666666667,6000000,0,Low
39287,Male,Urban,High School,2,1,1,5015,2,A,Platinum,96276,2-5L,1000000,0.005014995,0.5,1.0,4000000,0,High
33189,Female,Urban,High School,2,0,4,9341,2,A,Gold,100032,2-5L,1000000,0.009340991,0.93,0.4,10000000,0,High
50483,Male,Rural,High School,3,0,0,3077,1,A,Gold,54444,5L-10L,1500000,0.002051332,0.21,1.0,1500000,0,Low
66867,Female,Rural,Bachelor,4,0,6,6689,1,A,Platinum,47088,10L+,2000000,0.003344498,0.33,0.142857143,14000000,0,Low
7320,Female,Urban,High School,4,1,6,2806,1,B,Platinum,31464,10L+,2000000,0.001402999,0.14,0.142857143,14000000,0,Low
73225,Female,Rural,High School,4,0,6,2367,2,B,Platinum,68532,10L+,2000000,0.001183499,0.12,0.285714286,28000000,1,Medium
88089,Female,Rural,Bachelor,2,1,4,6496,2,A,Silver,43824,2-5L,1000000,0.006495994,0.65,0.4,10000000,0,Low
33637,Female,Urban,High School,3,1,7,5499,2,B,Silver,35844,5L-10L,1500000,0.003665998,0.37,0.25,24000000,1,Low
40992,Male,Urban,High School,3,0,7,9011,2,B,Platinum,197412,5L-10L,1500000,0.006007329,0.6,0.25,24000000,1,High
42069,Female,Urban,High School,3,1,1,6087,2,B,Gold,114600,5L-10L,1500000,0.004057997,0.41,1.0,6000000,1,High
80275,Female,Urban,Bachelor,3,0,0,6866,2,A,Silver,58416,5L-10L,1500000,0.00457733,0.46,2.0,3000000,1,Low
43071,Male,Urban,Bachelor,3,1,5,3816,1,A,Gold,32064,5L-10L,1500000,0.002543998,0.25,0.166666667,9000000,0,Low
86194,Female,Urban,Bachelor,3,1,6,3948,2,A,Gold,56208,5L-10L,1500000,0.002631998,0.26,0.285714286,21000000,1,Low
34671,Female,Urban,High School,3,0,8,2174,2,A,Platinum,99360,5L-10L,1500000,0.001449332,0.14,0.222222222,27000000,1,High
73318,Male,Urban,Bachelor,3,1,2,0,2,A,Platinum,59580,5L-10L,1500000,0.0,0.0,0.666666667,9000000,1,Low
64295,Female,Urban,Bachelor,2,0,8,6066,2,B,Platinum,100200,2-5L,1000000,0.006065994,0.61,0.222222222,18000000,0,High
35236,Female,Urban,High School,3,1,3,3813,2,A,Platinum,85824,5L-10L,1500000,0.002541998,0.25,0.5,12000000,1,Medium
29777,Female,Urban,High School,3,0,6,6133,1,A,Silver,33744,5L-10L,1500000,0.004088664,0.41,0.142857143,10500000,0,Low
73484,Male,Urban,Bachelor,4,0,6,6467,2,B,Platinum,111324,10L+,2000000,0.003233498,0.32,0.285714286,28000000,1,High
33804,Female,Urban,High School,1,0,6,5372,2,A,Platinum,60072,0-2L,500000,0.010743979,1.07,0.285714286,7000000,0,Low
7863,Female,Urban,High School,3,0,3,6197,2,A,Platinum,62796,5L-10L,1500000,0.004131331,0.41,0.5,12000000,1,Medium
85868,Male,Urban,High School,4,0,4,5914,1,A,Silver,31116,10L+,2000000,0.002956999,0.3,0.2,10000000,0,Low
39946,Female,Urban,High School,3,0,1,5504,2,A,Platinum,58260,5L-10L,1500000,0.003669331,0.37,1.0,6000000,1,Low
41728,Male,Urban,Bachelor,3,1,3,6097,1,A,Platinum,34116,5L-10L,1500000,0.004064664,0.41,0.25,6000000,0,Low
74055,Female,Rural,Bachelor,4,0,2,0,1,A,Platinum,69768,10L+,2000000,0.0,0.0,0.333333333,6000000,0,Medium
30455,Male,Urban,Bachelor,2,1,0,6690,2,A,Gold,63612,2-5L,1000000,0.006689993,0.67,2.0,2000000,0,Medium
69959,Female,Urban,High School,1,0,7,4014,2,A,Silver,63504,0-2L,500000,0.008027984,0.8,0.25,8000000,0,Medium
69068,Male,Urban,High School,2,0,8,10032,2,A,Platinum,147828,2-5L,1000000,0.01003199,1.0,0.222222222,18000000,0,High
